"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2015/12/26 04:30:00 PM","103.956","-5.638","104.109"
"2015/12/26 05:00:00 PM","95.479","3.389","95.539"
"2015/12/26 05:30:00 PM","92.718","7.315","93.006"
"2015/12/26 06:00:00 PM","97.771","7.705","98.074"
"2015/12/26 06:30:00 PM","102.545","-4.815","102.658"
"2015/12/26 07:00:00 PM","99.438","-0.699","99.440"
"2015/12/26 07:30:00 PM","88.562","2.356","88.593"
"2015/12/26 08:00:00 PM","95.746","9.769","96.243"
"2015/12/26 08:30:00 PM","108.675","0.478","108.676"
"2015/12/26 09:00:00 PM","93.683","5.053","93.820"
"2015/12/26 09:30:00 PM","92.597","5.823","92.780"
"2015/12/26 10:00:00 PM","98.482","-2.732","98.520"
"2015/12/26 10:30:00 PM","101.187","5.332","101.328"
"2015/12/26 11:00:00 PM","95.336","7.851","95.659"
"2015/12/26 11:30:00 PM","91.641","3.873","91.722"
"2015/12/27","93.637","8.152","93.991"
"2015/12/27 12:30:00 AM","97.861","6.914","98.105"
"2015/12/27 01:00:00 AM","90.190","4.868","90.321"
"2015/12/27 01:30:00 AM","91.912","4.532","92.024"
"2015/12/27 02:00:00 AM","100.577","0.981","100.582"
"2015/12/27 02:30:00 AM","98.847","6.044","99.031"
"2015/12/27 03:00:00 AM","92.431","6.519","92.660"
"2015/12/27 03:30:00 AM","91.429","6.584","91.666"
"2015/12/27 04:00:00 AM","95.297","1.357","95.307"
"2015/12/27 04:30:00 AM","96.239","4.198","96.330"
"2015/12/27 05:00:00 AM","93.145","5.216","93.291"
"2015/12/27 05:30:00 AM","91.137","5.713","91.316"
"2015/12/27 06:00:00 AM","95.090","4.087","95.178"
"2015/12/27 06:30:00 AM","96.283","10.670","96.873"
"2015/12/27 07:00:00 AM","92.423","7.186","92.702"
"2015/12/27 07:30:00 AM","92.047","4.849","92.175"
"2015/12/27 08:00:00 AM","90.505","5.174","90.653"
"2015/12/27 08:30:00 AM","98.371","6.432","98.581"
"2015/12/27 09:00:00 AM","92.043","5.183","92.189"
"2015/12/27 09:30:00 AM","91.057","5.870","91.246"
"2015/12/27 10:00:00 AM","100.572","7.625","100.861"
"2015/12/27 10:30:00 AM","100.654","-1.779","100.670"
"2015/12/27 11:00:00 AM","92.393","5.969","92.585"
"2015/12/27 11:30:00 AM","99.732","8.398","100.085"
"2015/12/27 12:00:00 PM","108.797","-6.147","108.970"
"2015/12/27 12:30:00 PM","98.500","-6.726","98.729"
"2015/12/27 01:00:00 PM","95.970","4.255","96.064"
"2015/12/27 01:30:00 PM","107.963","-2.926","108.002"
"2015/12/27 02:00:00 PM","108.069","-4.453","108.160"
"2015/12/27 02:30:00 PM","94.710","0.149","94.710"
"2015/12/27 03:00:00 PM","102.243","13.589","103.142"
"2015/12/27 03:30:00 PM","115.438","1.530","115.448"
"2015/12/27 04:00:00 PM","105.033","-9.125","105.429"
"2015/12/27 04:30:00 PM","92.869","6.070","93.067"
"2015/12/27 05:00:00 PM","106.311","-5.003","106.429"
"2015/12/27 05:30:00 PM","108.762","-4.248","108.845"
"2015/12/27 06:00:00 PM","95.665","8.132","96.010"
"2015/12/27 06:30:00 PM","98.638","-10.788","99.226"
"2015/12/27 07:00:00 PM","107.763","-5.414","107.898"
"2015/12/27 07:30:00 PM","104.991","-6.364","105.184"
"2015/12/27 08:00:00 PM","95.986","-3.373","96.045"
"2015/12/27 08:30:00 PM","96.039","9.163","96.475"
"2015/12/27 09:00:00 PM","106.233","-5.549","106.378"
"2015/12/27 09:30:00 PM","111.236","-2.865","111.273"
"2015/12/27 10:00:00 PM","97.351","7.328","97.626"
"2015/12/27 10:30:00 PM","107.403","12.439","108.121"
"2015/12/27 11:00:00 PM","109.057","-2.410","109.083"
"2015/12/27 11:30:00 PM","99.024","-6.557","99.241"
"2015/12/28","90.411","6.227","90.625"
"2015/12/28 12:30:00 AM","93.429","-2.331","93.458"
"2015/12/28 01:00:00 AM","101.726","-5.233","101.861"
"2015/12/28 01:30:00 AM","99.206","-5.642","99.366"
"2015/12/28 02:00:00 AM","88.416","3.177","88.473"
"2015/12/28 02:30:00 AM","96.508","-0.889","96.512"
"2015/12/28 03:00:00 AM","101.043","-3.394","101.100"
"2015/12/28 03:30:00 AM","96.279","4.236","96.372"
"2015/12/28 04:00:00 AM","92.429","6.243","92.639"
"2015/12/28 04:30:00 AM","94.099","9.810","94.609"
"2015/12/28 05:00:00 AM","99.252","9.878","99.742"
"2015/12/28 05:30:00 AM","99.047","10.924","99.648"
"2015/12/28 06:00:00 AM","107.837","-4.776","107.943"
"2015/12/28 06:30:00 AM","120.490","9.481","120.862"
"2015/12/28 07:00:00 AM","134.335","4.990","134.427"
"2015/12/28 07:30:00 AM","149.185","4.246","149.246"
"2015/12/28 08:00:00 AM","147.714","-3.688","147.760"
"2015/12/28 08:30:00 AM","148.194","-3.052","148.226"
