"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2016/01/04 01:30:00 PM","86.548","-1.923","86.569"
"2016/01/04 02:00:00 PM","88.513","-0.578","88.515"
"2016/01/04 02:30:00 PM","87.965","-0.235","87.965"
"2016/01/04 03:00:00 PM","87.287","-0.434","87.288"
"2016/01/04 03:30:00 PM","84.642","-1.859","84.663"
"2016/01/04 04:00:00 PM","85.109","-1.636","85.125"
"2016/01/04 04:30:00 PM","82.442","-2.619","82.484"
"2016/01/04 05:00:00 PM","79.051","-3.570","79.131"
"2016/01/04 05:30:00 PM","73.818","-5.861","74.050"
"2016/01/04 06:00:00 PM","67.855","-7.513","68.269"
"2016/01/04 06:30:00 PM","64.944","-7.447","65.370"
"2016/01/04 07:00:00 PM","55.786","-10.329","56.735"
"2016/01/04 07:30:00 PM","51.102","-10.341","52.138"
"2016/01/04 08:00:00 PM","50.834","-9.378","51.692"
"2016/01/04 08:30:00 PM","50.821","-9.965","51.788"
"2016/01/04 09:00:00 PM","51.329","-9.089","52.127"
"2016/01/04 09:30:00 PM","50.202","-9.559","51.104"
"2016/01/04 10:00:00 PM","49.864","-9.969","50.851"
"2016/01/04 10:30:00 PM","50.551","-9.184","51.378"
"2016/01/04 11:00:00 PM","50.728","-9.212","51.558"
"2016/01/04 11:30:00 PM","49.912","-9.544","50.816"
"2016/01/05","51.408","-8.609","52.123"
"2016/01/05 12:30:00 AM","50.573","-9.291","51.419"
"2016/01/05 01:00:00 AM","49.363","-9.246","50.221"
"2016/01/05 01:30:00 AM","50.667","-9.921","51.629"
"2016/01/05 02:00:00 AM","50.712","-9.246","51.548"
"2016/01/05 02:30:00 AM","50.275","-9.989","51.258"
"2016/01/05 03:00:00 AM","50.989","-9.152","51.804"
"2016/01/05 03:30:00 AM","50.704","-9.552","51.596"
"2016/01/05 04:00:00 AM","50.911","-9.714","51.829"
"2016/01/05 04:30:00 AM","51.954","-9.926","52.893"
"2016/01/05 05:00:00 AM","52.347","-9.278","53.163"
"2016/01/05 05:30:00 AM","52.215","-9.733","53.115"
"2016/01/05 06:00:00 AM","51.674","-9.585","52.556"
