"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2016/01/04 01:00:00 PM","1.799","-0.424","1.848"
"2016/01/04 01:30:00 PM","1.394","-0.295","1.425"
"2016/01/04 02:00:00 PM","1.990","-0.336","2.019"
"2016/01/04 02:30:00 PM","1.822","-0.300","1.846"
"2016/01/04 03:00:00 PM","1.728","-0.475","1.792"
"2016/01/04 03:30:00 PM","1.464","-0.550","1.564"
"2016/01/04 04:00:00 PM","1.253","-0.275","1.283"
"2016/01/04 04:30:00 PM","1.245","-0.132","1.252"
"2016/01/04 05:00:00 PM","1.069","-0.330","1.119"
"2016/01/04 05:30:00 PM","1.130","-0.309","1.171"
"2016/01/04 06:00:00 PM","0.654","-0.148","0.670"
"2016/01/04 06:30:00 PM","0.650","-0.072","0.653"
"2016/01/04 07:00:00 PM","0.734","-0.035","0.735"
"2016/01/04 07:30:00 PM","0.655","-0.134","0.669"
"2016/01/04 08:00:00 PM","0.654","-0.122","0.665"
"2016/01/04 08:30:00 PM","0.681","-0.069","0.684"
"2016/01/04 09:00:00 PM","0.711","-0.036","0.712"
"2016/01/04 09:30:00 PM","0.701","-0.049","0.702"
"2016/01/04 10:00:00 PM","0.618","-0.150","0.636"
"2016/01/04 10:30:00 PM","0.632","-0.148","0.649"
"2016/01/04 11:00:00 PM","0.746","-0.011","0.746"
"2016/01/04 11:30:00 PM","0.728","0.030","0.729"
"2016/01/05","0.624","-0.158","0.644"
"2016/01/05 12:30:00 AM","0.630","-0.179","0.655"
"2016/01/05 01:00:00 AM","0.682","-0.068","0.686"
"2016/01/05 01:30:00 AM","0.709","0.017","0.709"
"2016/01/05 02:00:00 AM","0.692","-0.089","0.698"
"2016/01/05 02:30:00 AM","0.606","-0.180","0.633"
"2016/01/05 03:00:00 AM","0.602","-0.132","0.616"
"2016/01/05 03:30:00 AM","0.770","0.019","0.770"
"2016/01/05 04:00:00 AM","0.720","-0.017","0.720"
"2016/01/05 04:30:00 AM","0.627","-0.177","0.651"
"2016/01/05 05:00:00 AM","0.573","-0.168","0.597"
"2016/01/05 05:30:00 AM","0.712","-0.028","0.713"
"2016/01/05 06:00:00 AM","0.745","-0.022","0.745"
"2016/01/05 06:30:00 AM","0.906","-0.209","0.930"
"2016/01/05 07:00:00 AM","1.794","-0.393","1.837"
"2016/01/05 07:30:00 AM","1.618","-0.326","1.650"
"2016/01/05 08:00:00 AM","1.321","-0.246","1.343"
"2016/01/05 08:30:00 AM","1.248","-0.412","1.314"
"2016/01/05 09:00:00 AM","2.572","-0.487","2.618"
"2016/01/05 09:30:00 AM","2.187","-0.359","2.217"
"2016/01/05 10:00:00 AM","2.012","-0.404","2.052"
"2016/01/05 10:30:00 AM","2.033","-0.363","2.065"
"2016/01/05 11:00:00 AM","2.646","-0.402","2.677"
"2016/01/05 11:30:00 AM","2.767","-0.399","2.795"
"2016/01/05 12:00:00 PM","2.726","-0.428","2.759"
"2016/01/05 12:30:00 PM","2.704","-0.563","2.762"
"2016/01/05 01:00:00 PM","2.903","-0.554","2.956"
"2016/01/05 01:30:00 PM","2.689","-0.667","2.771"
"2016/01/05 02:00:00 PM","3.005","-0.714","3.089"
"2016/01/05 02:30:00 PM","2.781","-0.625","2.850"
"2016/01/05 03:00:00 PM","2.803","-0.543","2.855"
"2016/01/05 03:30:00 PM","2.324","-0.489","2.375"
"2016/01/05 04:00:00 PM","2.216","-0.473","2.266"
"2016/01/05 04:30:00 PM","2.181","-0.487","2.234"
"2016/01/05 05:00:00 PM","2.142","-0.562","2.214"
"2016/01/05 05:30:00 PM","2.060","-0.690","2.173"
"2016/01/05 06:00:00 PM","1.872","-0.624","1.974"
"2016/01/05 06:30:00 PM","1.774","-0.498","1.842"
"2016/01/05 07:00:00 PM","1.543","-0.283","1.569"
"2016/01/05 07:30:00 PM","1.530","-0.290","1.557"
"2016/01/05 08:00:00 PM","1.493","-0.306","1.524"
"2016/01/05 08:30:00 PM","1.408","-0.446","1.477"
"2016/01/05 09:00:00 PM","1.454","-0.425","1.515"
"2016/01/05 09:30:00 PM","1.477","-0.367","1.522"
"2016/01/05 10:00:00 PM","1.552","-0.215","1.567"
"2016/01/05 10:30:00 PM","1.594","-0.218","1.609"
"2016/01/05 11:00:00 PM","1.482","-0.343","1.521"
"2016/01/05 11:30:00 PM","1.456","-0.385","1.506"
"2016/01/06","1.519","-0.317","1.552"
"2016/01/06 12:30:00 AM","1.596","-0.242","1.614"
"2016/01/06 01:00:00 AM","1.573","-0.242","1.591"
"2016/01/06 01:30:00 AM","1.468","-0.333","1.505"
"2016/01/06 02:00:00 AM","1.497","-0.361","1.540"
"2016/01/06 02:30:00 AM","1.493","-0.345","1.533"
"2016/01/06 03:00:00 AM","1.545","-0.217","1.560"
"2016/01/06 03:30:00 AM","1.590","-0.242","1.608"
"2016/01/06 04:00:00 AM","1.501","-0.334","1.538"
"2016/01/06 04:30:00 AM","1.465","-0.389","1.516"
"2016/01/06 05:00:00 AM","1.450","-0.367","1.496"
"2016/01/06 05:30:00 AM","1.567","-0.229","1.583"
"2016/01/06 06:00:00 AM","1.596","-0.225","1.612"
"2016/01/06 06:30:00 AM","1.797","-0.444","1.851"
"2016/01/06 07:00:00 AM","2.372","-0.593","2.445"
"2016/01/06 07:30:00 AM","2.723","-0.700","2.811"
"2016/01/06 08:00:00 AM","2.633","-0.638","2.710"
"2016/01/06 08:30:00 AM","3.994","-0.583","4.036"
"2016/01/06 09:00:00 AM","2.448","-0.484","2.495"
"2016/01/06 09:30:00 AM","2.700","-0.626","2.771"
"2016/01/06 10:00:00 AM","2.722","-0.664","2.801"
"2016/01/06 10:30:00 AM","2.979","-0.615","3.041"
"2016/01/06 11:00:00 AM","2.624","-0.539","2.678"
"2016/01/06 11:30:00 AM","3.412","-0.425","3.439"
"2016/01/06 12:00:00 PM","2.683","-0.617","2.753"
"2016/01/06 12:30:00 PM","2.654","-0.703","2.746"
"2016/01/06 01:00:00 PM","2.943","-0.680","3.021"
"2016/01/06 01:30:00 PM","3.359","-0.540","3.403"
"2016/01/06 02:00:00 PM","3.176","-0.477","3.211"
"2016/01/06 02:30:00 PM","2.370","-0.465","2.416"
"2016/01/06 03:00:00 PM","2.829","-0.498","2.873"
"2016/01/06 03:30:00 PM","2.181","-0.442","2.225"
"2016/01/06 04:00:00 PM","1.564","-0.368","1.606"
"2016/01/06 04:30:00 PM","1.565","-0.228","1.581"
"2016/01/06 05:00:00 PM","1.612","-0.218","1.626"
"2016/01/06 05:30:00 PM","1.586","-0.226","1.602"
"2016/01/06 06:00:00 PM","1.502","-0.334","1.539"
"2016/01/06 06:30:00 PM","1.489","-0.380","1.537"
"2016/01/06 07:00:00 PM","1.494","-0.384","1.543"
"2016/01/06 07:30:00 PM","1.592","-0.276","1.616"
"2016/01/06 08:00:00 PM","1.564","-0.240","1.582"
"2016/01/06 08:30:00 PM","1.536","-0.359","1.578"
"2016/01/06 09:00:00 PM","1.488","-0.396","1.540"
"2016/01/06 09:30:00 PM","1.526","-0.366","1.569"
"2016/01/06 10:00:00 PM","1.540","-0.240","1.559"
"2016/01/06 10:30:00 PM","1.580","-0.243","1.599"
"2016/01/06 11:00:00 PM","1.406","-0.350","1.449"
"2016/01/06 11:30:00 PM","0.553","-0.252","0.608"
"2016/01/07","0.590","-0.211","0.627"
"2016/01/07 12:30:00 AM","0.657","-0.119","0.668"
"2016/01/07 01:00:00 AM","0.594","-0.242","0.641"
"2016/01/07 01:30:00 AM","0.586","-0.218","0.626"
"2016/01/07 02:00:00 AM","0.637","-0.124","0.649"
"2016/01/07 02:30:00 AM","0.572","-0.244","0.622"
"2016/01/07 03:00:00 AM","0.677","-0.137","0.691"
"2016/01/07 03:30:00 AM","0.689","-0.078","0.693"
"2016/01/07 04:00:00 AM","0.603","-0.177","0.629"
"2016/01/07 04:30:00 AM","0.652","-0.123","0.663"
"2016/01/07 05:00:00 AM","0.678","-0.113","0.687"
"2016/01/07 05:30:00 AM","0.619","-0.167","0.641"
"2016/01/07 06:00:00 AM","0.809","-0.080","0.813"
"2016/01/07 06:30:00 AM","1.019","-0.347","1.076"
"2016/01/07 07:00:00 AM","1.448","-0.324","1.483"
"2016/01/07 07:30:00 AM","2.381","-0.318","2.402"
"2016/01/07 08:00:00 AM","2.280","-0.443","2.322"
"2016/01/07 08:30:00 AM","2.697","-0.436","2.732"
"2016/01/07 09:00:00 AM","2.512","-0.574","2.577"
"2016/01/07 09:30:00 AM","1.836","-0.533","1.911"
"2016/01/07 10:00:00 AM","2.284","-0.463","2.330"
"2016/01/07 10:30:00 AM","2.022","-0.441","2.070"
"2016/01/07 11:00:00 AM","2.031","-0.368","2.064"
"2016/01/07 11:30:00 AM","1.938","-0.360","1.971"
"2016/01/07 12:00:00 PM","2.527","-0.236","2.538"
"2016/01/07 12:30:00 PM","2.714","-0.344","2.736"
"2016/01/07 01:00:00 PM","2.826","-0.358","2.849"
"2016/01/07 01:30:00 PM","2.916","-0.486","2.956"
"2016/01/07 02:00:00 PM","2.953","-0.553","3.004"
"2016/01/07 02:30:00 PM","2.980","-0.477","3.018"
"2016/01/07 03:00:00 PM","2.101","-0.544","2.171"
"2016/01/07 03:30:00 PM","1.282","-0.373","1.335"
"2016/01/07 04:00:00 PM","0.801","-0.259","0.842"
"2016/01/07 04:30:00 PM","0.613","-0.153","0.632"
"2016/01/07 05:00:00 PM","0.597","-0.217","0.635"
"2016/01/07 05:30:00 PM","0.645","-0.116","0.656"
"2016/01/07 06:00:00 PM","0.655","-0.113","0.664"
"2016/01/07 06:30:00 PM","0.647","-0.155","0.665"
"2016/01/07 07:00:00 PM","0.670","-0.086","0.676"
"2016/01/07 07:30:00 PM","0.587","-0.182","0.614"
