"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2016/01/04 01:00:00 PM","3.372","-0.441","3.401"
"2016/01/04 01:30:00 PM","2.641","-0.479","2.684"
"2016/01/04 02:00:00 PM","2.791","-0.475","2.831"
"2016/01/04 02:30:00 PM","2.727","-0.404","2.756"
"2016/01/04 03:00:00 PM","2.722","-0.405","2.752"
"2016/01/04 03:30:00 PM","2.153","-0.384","2.187"
"2016/01/04 04:00:00 PM","1.569","-0.170","1.578"
"2016/01/04 04:30:00 PM","0.755","0.007","0.755"
"2016/01/04 05:00:00 PM","0.696","-0.043","0.697"
"2016/01/04 05:30:00 PM","0.673","-0.035","0.674"
"2016/01/04 06:00:00 PM","0.719","0.019","0.719"
"2016/01/04 06:30:00 PM","0.683","0.009","0.683"
"2016/01/04 07:00:00 PM","0.678","-0.029","0.678"
"2016/01/04 07:30:00 PM","0.677","-0.028","0.678"
"2016/01/04 08:00:00 PM","0.713","0.015","0.713"
"2016/01/04 08:30:00 PM","0.706","0.004","0.706"
"2016/01/04 09:00:00 PM","0.665","-0.044","0.667"
"2016/01/04 09:30:00 PM","0.637","-0.044","0.639"
"2016/01/04 10:00:00 PM","0.684","-0.020","0.685"
"2016/01/04 10:30:00 PM","0.716","0.013","0.716"
"2016/01/04 11:00:00 PM","0.692","-0.014","0.692"
"2016/01/04 11:30:00 PM","0.677","-0.035","0.678"
"2016/01/05","0.637","-0.043","0.639"
"2016/01/05 12:30:00 AM","0.670","-0.039","0.671"
"2016/01/05 01:00:00 AM","0.700","-0.002","0.700"
"2016/01/05 01:30:00 AM","0.702","-0.001","0.702"
"2016/01/05 02:00:00 AM","0.679","-0.030","0.680"
"2016/01/05 02:30:00 AM","0.668","-0.042","0.669"
"2016/01/05 03:00:00 AM","0.650","-0.041","0.651"
"2016/01/05 03:30:00 AM","0.654","-0.042","0.656"
"2016/01/05 04:00:00 AM","0.685","-0.021","0.685"
"2016/01/05 04:30:00 AM","0.690","-0.015","0.690"
"2016/01/05 05:00:00 AM","0.691","-0.015","0.691"
"2016/01/05 05:30:00 AM","0.673","-0.035","0.674"
"2016/01/05 06:00:00 AM","0.661","-0.043","0.663"
"2016/01/05 06:30:00 AM","0.972","-0.094","0.976"
"2016/01/05 07:00:00 AM","1.574","-0.111","1.578"
"2016/01/05 07:30:00 AM","1.797","-0.236","1.813"
"2016/01/05 08:00:00 AM","1.866","-0.174","1.874"
"2016/01/05 08:30:00 AM","1.801","-0.228","1.816"
"2016/01/05 09:00:00 AM","1.684","-0.137","1.690"
"2016/01/05 09:30:00 AM","1.818","-0.142","1.824"
"2016/01/05 10:00:00 AM","1.572","-0.148","1.579"
"2016/01/05 10:30:00 AM","1.668","-0.147","1.674"
