"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2014/04/05 11:30:00 PM","24.740","-1.245","24.771"
"2014/04/06","25.105","-1.159","25.132"
"2014/04/06 12:30:00 AM","24.957","-1.231","24.988"
"2014/04/06 01:00:00 AM","24.679","-1.229","24.710"
"2014/04/06 01:30:00 AM","24.613","-1.251","24.645"
"2014/04/06 02:00:00 AM","24.647","-1.254","24.678"
"2014/04/06 02:30:00 AM","24.643","-1.278","24.676"
"2014/04/06 03:00:00 AM","24.761","-1.180","24.790"
"2014/04/06 03:30:00 AM","24.813","-1.187","24.841"
"2014/04/06 04:00:00 AM","25.986","-1.010","26.006"
"2014/04/06 04:30:00 AM","24.830","-1.200","24.859"
"2014/04/06 05:00:00 AM","25.658","-1.050","25.679"
"2014/04/06 05:30:00 AM","24.611","-1.276","24.644"
"2014/04/06 06:00:00 AM","24.605","-1.284","24.639"
"2014/04/06 06:30:00 AM","25.348","-1.190","25.375"
"2014/04/06 07:00:00 AM","24.843","-1.129","24.869"
"2014/04/06 07:30:00 AM","25.350","-1.069","25.373"
"2014/04/06 08:00:00 AM","24.984","-1.097","25.008"
"2014/04/06 08:30:00 AM","28.053","-1.171","28.077"
"2014/04/06 09:00:00 AM","30.676","-1.503","30.713"
"2014/04/06 09:30:00 AM","32.927","-1.186","32.949"
"2014/04/06 10:00:00 AM","30.073","-1.638","30.117"
"2014/04/06 10:30:00 AM","29.994","-1.612","30.037"
"2014/04/06 11:00:00 AM","30.372","-1.525","30.410"
"2014/04/06 11:30:00 AM","29.690","-1.666","29.736"
"2014/04/06 12:00:00 PM","29.817","-1.629","29.862"
"2014/04/06 12:30:00 PM","30.023","-1.583","30.064"
"2014/04/06 01:00:00 PM","30.169","-1.480","30.205"
"2014/04/06 01:30:00 PM","29.939","-1.511","29.977"
"2014/04/06 02:00:00 PM","30.014","-1.547","30.054"
"2014/04/06 02:30:00 PM","29.855","-1.564","29.896"
"2014/04/06 03:00:00 PM","29.826","-1.356","29.857"
"2014/04/06 03:30:00 PM","27.256","-1.403","27.292"
"2014/04/06 04:00:00 PM","27.565","-1.339","27.597"
"2014/04/06 04:30:00 PM","27.169","-1.442","27.208"
"2014/04/06 05:00:00 PM","27.241","-1.416","27.277"
"2014/04/06 05:30:00 PM","27.978","-1.263","28.007"
"2014/04/06 06:00:00 PM","27.399","-1.323","27.431"
"2014/04/06 06:30:00 PM","27.425","-1.261","27.454"
"2014/04/06 07:00:00 PM","27.333","-1.364","27.367"
"2014/04/06 07:30:00 PM","27.392","-1.422","27.428"
"2014/04/06 08:00:00 PM","28.043","-1.306","28.073"
"2014/04/06 08:30:00 PM","28.461","-1.284","28.490"
"2014/04/06 09:00:00 PM","27.082","-1.585","27.128"
"2014/04/06 09:30:00 PM","27.399","-1.416","27.436"
"2014/04/06 10:00:00 PM","27.021","-1.531","27.065"
"2014/04/06 10:30:00 PM","27.340","-1.388","27.375"
"2014/04/06 11:00:00 PM","27.629","-1.323","27.661"
"2014/04/06 11:30:00 PM","26.778","-1.649","26.829"
"2014/04/07","27.392","-1.484","27.433"
"2014/04/07 12:30:00 AM","27.406","-1.443","27.444"
"2014/04/07 01:00:00 AM","27.032","-1.546","27.076"
"2014/04/07 01:30:00 AM","26.950","-1.616","26.998"
"2014/04/07 02:00:00 AM","27.024","-1.577","27.070"
