"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2015/12/26 06:30:00 PM","2.262","-0.892","2.431"
"2015/12/26 07:00:00 PM","2.293","-0.845","2.444"
"2015/12/26 07:30:00 PM","2.267","-0.896","2.437"
"2015/12/26 08:00:00 PM","2.301","-0.843","2.451"
"2015/12/26 08:30:00 PM","2.278","-0.869","2.438"
"2015/12/26 09:00:00 PM","2.282","-0.863","2.439"
"2015/12/26 09:30:00 PM","2.294","-0.839","2.443"
"2015/12/26 10:00:00 PM","2.265","-0.890","2.434"
"2015/12/26 10:30:00 PM","2.298","-0.846","2.449"
"2015/12/26 11:00:00 PM","2.266","-0.884","2.432"
"2015/12/26 11:30:00 PM","2.297","-0.839","2.446"
"2015/12/27","2.266","-0.887","2.434"
"2015/12/27 12:30:00 AM","2.288","-0.847","2.440"
"2015/12/27 01:00:00 AM","2.296","-0.864","2.453"
"2015/12/27 01:30:00 AM","2.277","-0.884","2.443"
"2015/12/27 02:00:00 AM","2.301","-0.854","2.454"
"2015/12/27 02:30:00 AM","2.265","-0.897","2.436"
"2015/12/27 03:00:00 AM","2.292","-0.847","2.443"
"2015/12/27 03:30:00 AM","2.262","-0.891","2.432"
"2015/12/27 04:00:00 AM","2.294","-0.844","2.444"
"2015/12/27 04:30:00 AM","2.278","-0.881","2.442"
"2015/12/27 05:00:00 AM","2.289","-0.858","2.444"
"2015/12/27 05:30:00 AM","2.292","-0.857","2.447"
"2015/12/27 06:00:00 AM","2.264","-0.883","2.430"
"2015/12/27 06:30:00 AM","2.299","-0.840","2.447"
"2015/12/27 07:00:00 AM","2.251","-0.879","2.417"
"2015/12/27 07:30:00 AM","2.281","-0.829","2.427"
"2015/12/27 08:00:00 AM","2.247","-0.869","2.409"
"2015/12/27 08:30:00 AM","2.273","-0.819","2.416"
"2015/12/27 09:00:00 AM","2.268","-0.853","2.423"
"2015/12/27 09:30:00 AM","2.270","-0.839","2.420"
"2015/12/27 10:00:00 AM","2.295","-0.826","2.439"
"2015/12/27 10:30:00 AM","2.249","-0.867","2.410"
"2015/12/27 11:00:00 AM","2.275","-0.818","2.418"
"2015/12/27 11:30:00 AM","2.248","-0.865","2.409"
"2015/12/27 12:00:00 PM","2.273","-0.815","2.415"
"2015/12/27 12:30:00 PM","2.255","-0.865","2.415"
"2015/12/27 01:00:00 PM","2.275","-0.824","2.420"
"2015/12/27 01:30:00 PM","2.281","-0.845","2.432"
"2015/12/27 02:00:00 PM","2.266","-0.878","2.431"
"2015/12/27 02:30:00 PM","2.300","-0.845","2.450"
"2015/12/27 03:00:00 PM","2.269","-0.890","2.437"
"2015/12/27 03:30:00 PM","2.292","-0.839","2.441"
"2015/12/27 04:00:00 PM","2.262","-0.894","2.433"
"2015/12/27 04:30:00 PM","2.292","-0.840","2.441"
"2015/12/27 05:00:00 PM","2.272","-0.849","2.426"
"2015/12/27 05:30:00 PM","2.258","-0.865","2.418"
"2015/12/27 06:00:00 PM","2.276","-0.837","2.425"
"2015/12/27 06:30:00 PM","2.251","-0.891","2.421"
"2015/12/27 07:00:00 PM","2.282","-0.842","2.432"
"2015/12/27 07:30:00 PM","2.258","-0.895","2.429"
"2015/12/27 08:00:00 PM","2.288","-0.842","2.438"
"2015/12/27 08:30:00 PM","2.264","-0.863","2.422"
"2015/12/27 09:00:00 PM","2.282","-0.869","2.441"
"2015/12/27 09:30:00 PM","2.293","-0.848","2.444"
"2015/12/27 10:00:00 PM","2.255","-0.895","2.427"
"2015/12/27 10:30:00 PM","2.292","-0.849","2.444"
"2015/12/27 11:00:00 PM","2.241","-0.875","2.406"
"2015/12/27 11:30:00 PM","2.279","-0.832","2.426"
